id,sigla,nome,uri,numeroEleitoral,urlLogo,urlWebSite,urlFacebook,status.data,status.idLegislatura,status.situacao,status.totalPosse,status.totalMembros,status.uriMembros,status.lider.uri,status.lider.nome,status.lider.siglaPartido,status.lider.uriPartido,status.lider.uf,status.lider.idLegislatura,status.lider.urlFoto,data_captura
36898,AVANTE,AVANTE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36898,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/AVANTE.GIF,,,2026-04-15 21:26:00,57,ATIVO,7,5,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=AVANTE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/91228,WALDEMAR OLIVEIRA,AVANTE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36898,PE,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/91228.JPG,2026-06-01 00:26:51
37905,CIDADANIA,CIDADANIA,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37905,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/CIDADANIA.GIF,,,2021-03-02 13:23:00,57,ATIVO,5,2,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=CIDADANIA,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/178972,ALEX MANENTE,CIDADANIA,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37905,SP,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/178972.JPG,2026-06-01 00:26:51
36899,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36899,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/MDB.GIF,,,2026-05-14 09:14:00,57,ATIVO,41,38,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=MDB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204436,ISNALDO BULHÕES JR.,MDB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36899,AL,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204436.JPG,2026-06-01 00:26:51
38011,MISSÃO,PARTIDO MISSÃO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38011,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/MISSÃO.GIF,,,2026-03-10 12:14:00,57,ATIVO,0,1,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=MISSÃO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204536,KIM KATAGUIRI,MISSÃO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38011,SP,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204536.JPG,2026-06-01 00:26:51
37901,NOVO,PARTIDO NOVO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37901,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/NOVO.GIF,,,2026-05-19 17:03:00,57,ATIVO,3,5,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=NOVO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204365,GILSON MARQUES,NOVO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37901,SC,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204365.JPG,2026-06-01 00:26:51
36779,PCDOB,PARTIDO COMUNISTA DO BRASIL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36779,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PCDOB.GIF,,,2023-12-22 18:10:00,57,ATIVO,7,11,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PCDOB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204394,GERVÁSIO MAIA,PCDOB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36779,PB,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204394.JPG,2026-06-01 00:26:51
36786,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36786,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PDT.GIF,,,2025-02-04 12:10:00,57,ATIVO,16,9,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PDT,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74158,MÁRIO HERINGER,PDT,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36786,MG,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/74158.JPG,2026-06-01 00:26:51
37906,PL,PARTIDO LIBERAL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37906,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PL.GIF,,,2026-03-31 12:27:00,57,ATIVO,97,97,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204374,BIA KICIS,PL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37906,DF,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204374.JPG,2026-06-01 00:26:51
36896,PODE,PODEMOS,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36896,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PODE.GIF,,,2026-03-23 15:10:00,57,ATIVO,20,27,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PODE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/220641,RODRIGO GAMBALE,PODE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36896,SP,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/220641.JPG,2026-06-01 00:26:51
37903,PP,PROGRESSISTAS,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37903,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PP.GIF,,,2025-11-24 10:06:00,57,ATIVO,47,47,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PP,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204450,DOUTOR LUIZINHO,PP,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37903,RJ,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204450.JPG,2026-06-01 00:26:51
38010,PRD,PARTIDO RENOVAÇÃO DEMOCRÁTICA,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38010,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PRD.GIF,,,2024-04-16 20:47:00,57,ATIVO,5,2,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PRD,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204494,FRED COSTA,PRD,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38010,MG,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204494.JPG,2026-06-01 00:26:51
36832,PSB,PARTIDO SOCIALISTA BRASILEIRO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36832,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PSB.GIF,,,2026-01-02 14:23:00,57,ATIVO,15,17,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PSB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/160548,JONAS DONIZETTE,PSB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36832,SP,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/160548.JPG,2026-06-01 00:26:51
36834,PSD,PARTIDO SOCIAL DEMOCRÁTICO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36834,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PSD.GIF,,,2025-12-22 09:19:00,57,ATIVO,42,48,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PSD,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/160553,ANTONIO BRITO,PSD,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36834,BA,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/160553.JPG,2026-06-01 00:26:51
36835,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36835,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PSDB.GIF,,,2026-04-22 08:53:00,57,ATIVO,13,18,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PSDB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/204560,ADOLFO VIANA,PSDB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36835,BA,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/204560.JPG,2026-06-01 00:26:51
36839,PSOL,PARTIDO SOCIALISMO E LIBERDADE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36839,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PSOL.GIF,,,2026-02-05 18:21:00,57,ATIVO,13,12,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PSOL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/220598,TARCÍSIO MOTTA,PSOL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36839,RJ,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/220598.JPG,2026-06-01 00:26:51
36844,PT,PARTIDO DOS TRABALHADORES,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36844,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PT.GIF,,,2026-04-15 08:37:00,57,ATIVO,69,65,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PT,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74400,PAULO PIMENTA,PT,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36844,RS,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/74400.JPG,2026-06-01 00:26:51
36851,PV,PARTIDO VERDE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36851,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/PV.GIF,,,2022-10-25 18:27:00,57,ATIVO,6,6,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=PV,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/73586,JÚLIO DELGADO,PV,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36851,MG,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/73586.JPG,2026-06-01 00:26:51
36886,REDE,REDE SUSTENTABILIDADE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36886,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/REDE.GIF,,,2022-12-13 20:41:00,57,ATIVO,2,4,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=REDE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/157130,TÚLIO GADÊLHA,REDE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36886,PE,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/157130.JPG,2026-06-01 00:26:51
37908,REPUBLICANOS,REPUBLICANOS,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37908,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/REPUBLICANOS.GIF,,,2026-02-25 09:42:00,57,ATIVO,40,43,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=REPUBLICANOS,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/160665,AUGUSTO COUTINHO,REPUBLICANOS,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37908,PE,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/160665.JPG,2026-06-01 00:26:51
37904,SOLIDARIEDADE,SOLIDARIEDADE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37904,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/SOLIDARIEDADE.GIF,,,2025-10-21 20:48:00,57,ATIVO,7,6,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=SOLIDARIEDADE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/160512,AUREO RIBEIRO,SOLIDARIEDADE,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37904,RJ,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/160512.JPG,2026-06-01 00:26:51
38009,UNIÃO,UNIÃO BRASIL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38009,,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/IMG/PARTIDOS/UNIÃO.GIF,,,2025-10-30 14:39:00,57,ATIVO,58,50,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS?IDLEGISLATURA=57&SIGLAPARTIDO=UNIÃO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/122974,PEDRO LUCAS FERNANDES,UNIÃO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38009,MA,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/122974.JPG,2026-06-01 00:26:51
